X,Y,OBJECTID_12_13,Plant_ID,Plant_Name,Plant_Alias,Plant_Label,EIA_ID,MW,Gross_MWh,Net_MWh,General_Fuel,Status,STEP_License_Status,Docket_ID,STEP_Project_Type,Street,City,State_,Zip_Code,Plant_County,Initial_Start_Date,Online_Year,Retire_Date,Peaker,Renewable_Energy,Gen_Count,RPS_Eligible,Utility_ID,Owner_Name,Wind_Resource,LRA,Sub_Area,Service_Area,Service_Category,Caliso_Balancing_Authorities,Air_District,Air_Basin,Quad,Senate_District,Assembly_District,Congressional_District,CES30_PercentileRange,CES30_Percentile,CEC_Jurisdictional_Plant,CEC_Link,Aerial,Elevation,Operation_Job,Property_Tax,Income_Percent,Capacity_Factor,Project_Location
-121.921634992064639,38.400098489788206,1870,B0001,Vaca Dixon Battery Storage,Vaca Dixon Solar Station,Vaca Dixon Battery Storage,59256,2.4,0,552,Battery,Operating,,,,5138 Midway Road,Vacaville,CA,95688,Solano,2013-07-01T00:00:00.000Z,2013,,0,0,1,0,14328,Pacific Gas & Electric (PG&E),,,,Pacific Gas & Electric Company,IOU,CALISO,Yolo Solano Air Quality Management District,Sacramento Valley,Allendale,Senate District 3,Assembly District 11,Congressional District 3,60-65%,61,0,,"<a href=""https://earth.google.com/web/@38.4000611,-121.9216472,25.83148828a,806.53260497d,35y,0h,45t,0r/data=CjoaOBIyCgAZbXO-MzUzQ0AhzJyJRPx6XsAqHDM4wrAyNCcwMC4yIk4gMTIxwrA1NScxNy45IlcYAiABKAI"">Google Earth</a>",25.62490901,,,148,0.02618397,Neither Low Income Nor Disadvantaged Community
-117.559669045762078,34.004651346292782,1871,B0005,Mira Loma BESS A,,Mira Loma - BESS A,60661,10,,,Battery,Operating,,,,13568 Milliken Ave,Ontario,CA,91761,San Bernardino,2016-12-30T00:00:00.000Z,2016,,0,0,1,0,17609,Not Available,,LA Basin,,Southern California Edison,IOU,CALISO,South Coast Air Quality Management District,South Coast,Guasti,Senate District 20,Assembly District 52,Congressional District 35,75-80%,79,0,,"<a href=""https://earth.google.com/web/@37.3073111,-121.7500861,169.9892413a,819.75774447d,35y,0h,45t,0r/data=CjoaOBIyCgAZURla-FWnQkAhySshaQFwXsAqHDM3wrAxOCcyNi4zIk4gMTIxwrA0NScwMC4zIlcYAiABKAI"">Google Earth</a>",228.71843683,,,132,,Disadvantaged Community
-117.55896894733867,34.004651345548076,1872,B0006,Mira Loma BESS B,,Mira Loma - BESS B,60661,10,,,Battery,Operating,,,,13568 Milliken Ave,Ontario,CA,91761,San Bernardino,2016-12-30T00:00:00.000Z,2016,,0,0,1,0,17609,Not Available,,LA Basin,,Southern California Edison,IOU,CALISO,South Coast Air Quality Management District,South Coast,Guasti,Senate District 20,Assembly District 52,Congressional District 35,75-80%,79,0,,"<a href=""https://earth.google.com/web/@37.3073389,-121.7500861,171.5049108a,819.75490882d,35y,0h,45t,0r/data=CjoaOBIyCgAZ8SSO4VanQkAhySshaQFwXsAqHDM3wrAxOCcyNi40Ik4gMTIxwrA0NScwMC4zIlcYAiABKAI"">Google Earth</a>",229.23714389,,,132,,Disadvantaged Community
-117.735476341147063,34.094284080420088,1873,B0007,AltaGas Pomona Energy Storage,,Pomona Energy Storage,50300,20,21479,19012,Battery,Operating,,,,N Towne Avenue,Pamona,CA,91767,San Bernardino,2016-12-31T00:00:00.000Z,2016,,0,0,1,0,17609,AltaGas Pomona Energy Inc,,LA Basin,Western LA Basin,Southern California Edison,IOU,CALISO,South Coast Air Quality Management District,South Coast,Ontario,Senate District 20,Assembly District 52,Congressional District 35,70-75%,70,0,,"<a href=""https://earth.google.com/web/@37.3073389,-121.7500861,171.5049108a,819.75490882d,35y,0h,45t,0r/data=CjoaOBIyCgAZ8SSO4VanQkAhySshaQFwXsAqHDM3wrAxOCcyNi40Ik4gMTIxwrA0NScwMC4zIlcYAiAB"">Google Earth</a>",337.9253148,,,84,0.10821949,Neither Low Income Nor Disadvantaged Community
-117.115027487960489,33.124413313392765,1874,B0008,Escondido BESS 1,,Escondido BESS 1,60570,10,,,Battery,Operating,,,,571 Enterprise Street,Vineyard,CA,92029,San Diego,2017-03-06T00:00:00.000Z,2017,,0,0,1,0,16609,Not Available,,San Diego/ IV Area,San Diego,San Diego Gas & Electric,IOU,CALISO,San Diego County Air Pollution Control District,San Diego County,Escondido,Senate District 38,Assembly District 75,Congressional District 50,35-40%,37,0,,"<a href=""https://earth.google.com/web/@37.3073361,-121.7501222,171.59421592a,819.75490882d,35y,0h,45t,0r/data=CjoaOBIyCgAZqjARylanQkAhOkCLAAJwXsAqHDM3wrAxOCcyNi40Ik4gMTIxwrA0NScwMC40IlcYAiABKAI"">Google Earth</a>",204.26175133,,,91,,Neither Low Income Nor Disadvantaged Community
-117.115455602567039,33.124536295355767,1875,B0009,Escondido BESS 2,,Escondido BESS 2,60570,10,,,Battery,Operating,,,,571 Enterprise Street,Vineyard,CA,92029,San Diego,2017-03-06T00:00:00.000Z,2017,,0,0,1,0,16609,Not Available,,San Diego/ IV Area,San Diego,San Diego Gas & Electric,IOU,CALISO,San Diego County Air Pollution Control District,San Diego County,Escondido,Senate District 38,Assembly District 75,Congressional District 50,35-40%,37,0,,"<a href=""https://earth.google.com/web/@37.307325,-121.7501278,171.47599747a,819.75774447d,35y,0h,45t,0r/data=CjoaOBIyCgAZIR_0bFanQkAhgjQIGAJwXsAqHDM3wrAxOCcyNi40Ik4gMTIxwrA0NScwMC41IlcYAiABKAI"">Google Earth</a>",205.51191565,,,91,,Neither Low Income Nor Disadvantaged Community
-117.115832305691555,33.124670798992746,1876,B0010,Escondido BESS 3,,Escondido BESS 3,60570,10,,,Battery,Operating,,,,571 Enterprise Street,Vineyard,CA,92029,San Diego,2017-03-06T00:00:00.000Z,2017,,0,0,1,0,16609,Not Available,,San Diego/ IV Area,San Diego,San Diego Gas & Electric,IOU,CALISO,San Diego County Air Pollution Control District,San Diego County,Escondido,Senate District 38,Assembly District 75,Congressional District 50,35-40%,37,0,,"<a href=""https://earth.google.com/web/@33.1248972,-117.1158778,204.52114538a,867.59550126d,35y,0h,45t,0r/data=CjoaOBIyCgAZVa6mofyPQEAhRlW4impHXcAqHDMzwrAwNycyOS42Ik4gMTE3wrAwNic1Ny4yIlcYAiABKAI"">Google Earth</a>",206.09779807,,,91,,Neither Low Income Nor Disadvantaged Community
-118.382539873208742,33.922269677737866,1877,B0012,Los Angeles Air Force Base BESS,,Los Angeles Air Force Base,,0.53,,,Battery,Operating,,,,7033 Hawarden Dr,Riverside,CA,92506,Riverside,2015-12-18T00:00:00.000Z,2015,,0,0,1,0,17609,Not Available,,LA Basin,El Nindo,Southern California Edison,IOU,CALISO,South Coast Air Quality Management District,South Coast,Venice,Senate District 26,Assembly District 62,Congressional District 33,,,0,,"<a href=""https://earth.google.com/web/@33.9216556,-118.3827,43.57539999a,858.83266317d,35y,0h,45t,0r/data=CjoaOBIyCgAZbxaKz_j1QEAheAskKH6YXcAqHDMzwrA1NScxOC4wIk4gMTE4wrAyMic1Ny43IlcYAiABKAI"">Google Earth</a>",30.62391207,,,,,
-117.378509773865545,35.763780198024797,1878,C0001,ACE Cogeneration (ACE is Argus Cogen Expansion - Retired),"Ace Cogen.; Ace Cogeneration",ACE,10002,108,,,Coal,Operating,,"1986-AFC-01, 1986-AFC-01C",AFC,12801 Mariposa Street,Trona,CA,93562,San Bernardino,1990-12-01T00:00:00.000Z,1990,,0,0,1,0,17609,ACE Cogeneration Co,,,,Southern California Edison,IOU,CALISO,Mojave Desert Air Quality Management District,Mojave Desert,Trona West,Senate District 16,Assembly District 33,Congressional District 8,55-60%,58,1,,"<a href=""https://earth.google.com/web/@35.7626556,-117.3775417,513.21253356a,837.94704263d,35y,0h,45t,0r/data=CjoaOBIyCgAZPQ7esp7hQUAhFJippClYXcAqHDM1wrA0NSc0NS42Ik4gMTE3wrAyMiczOS4yIlcYAiABKAI"">Google Earth</a>",510.87638623,,,58,,Low Income
-118.228148591165251,33.775951387705675,1879,C0002,Los Angeles Refinery - Calciner,"Wilmington Calciner; BP Wilmington Calciner; CA Calciner at Long Beach",Wilmington Calciner,10601,35.8,246434,206936,Coal,Operating,,,,2450 Pier B Street,Long Beach,CA,90813,Los Angeles,1982-12-01T00:00:00.000Z,1982,,0,0,1,0,17609,Tesoro Refining & Marketing Company LLC,,LA Basin,Western LA Basin,Southern California Edison,IOU,CALISO,South Coast Air Quality Management District,South Coast,Long Beach (digital),Senate District 33,Assembly District 70,Congressional District 47,,,0,,"<a href=""https://earth.google.com/web/@33.7759389,-118.2281694,10.16151773a,860.44740249d,35y,0h,45t,0r/data=CjoaOBIyCgAZ3JhD91HjQEAhq7zTU5qOXcAqHDMzwrA0NiczMy40Ik4gMTE4wrAxMyc0MS40IlcYAiABKAI"">Google Earth</a>",-0.35465789,,,,0.65805273,
